ܚܕܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܚܕܳܐ,ܐܶܬܚܕܺܝ,ܚܰܕܺܝ,ܐܶܬܚܰܕܺܝ,ܐܰܚܕܺܝ,ܐܶܬܬܰܚܕܺܝ
perfect,3FS,ܚܕܳܐܬ,ܐܶܬܚܰܕܝܰܬ,ܚܰܕܝܰܬ,ܐܶܬܚܰܕܝܰܬ,ܐܰܚܕܝܰܬ,ܐܶܬܬܰܚܕܝܰܬ
perfect,2MS,ܚܕܰܝܬ,ܐܶܬܚܕܺܝܬ,ܚܰܕܺܝܬ,ܐܶܬܚܰܕܺܝܬ,ܐܰܚܕܺܝܬ,ܐܶܬܬܰܚܕܺܝܬ
perfect,2FS,ܚܕܰܝܬܝ,ܐܶܬܚܕܺܝܬܝ,ܚܰܕܺܝܬܝ,ܐܶܬܚܰܕܺܝܬܝ,ܐܰܚܕܺܝܬܝ,ܐܶܬܬܰܚܕܺܝܬܝ
perfect,1CS,ܚܕܺܝܬ,ܐܶܬܚܰܕܺܝܬ,ܚܰܕܺܝܬ,ܐܶܬܚܰܕܺܝܬ,ܐܰܚܕܺܝܬ,ܐܶܬܬܰܚܕܺܝܬ
perfect,3MP,ܚܕܰܘ,ܐܶܬܚܕܺܝܘ,ܚܰܕܺܝܘ,ܐܶܬܚܰܕܺܝܘ,ܐܰܚܕܺܝܘ,ܐܶܬܬܰܚܕܺܝܘ
perfect,3FP,ܚܕܰܝ̈,ܐܶܬܚܕܺܝ̈,ܚܰܕܺܝ̈,ܐܶܬܚܰܕܺܝ̈,ܐܰܚܕܺܝ̈,ܐܶܬܬܰܚܕܺܝ̈
perfect,2MP,ܚܕܰܝܬܽܘܢ,ܐܶܬܚܕܺܝܬܽܘܢ,ܚܰܕܺܝܬܽܘܢ,ܐܶܬܚܰܕܺܝܬܽܘܢ,ܐܰܚܕܺܝܬܽܘܢ,ܐܶܬܬܰܚܕܺܝܬܽܘܢ
perfect,2FP,ܚܕܰܝܬ̈ܶܝܢ,ܐܶܬܚܕܺܝ̈ܬܶܝܢ,ܚܰܕܺܝܬ̈ܶܝܢ,ܐܶܬܚܰܕܺܝ̈ܬܶܝܢ,ܐܰܚܕܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܚܕܺܝܬܶܝ̈ܢ
perfect,1CP,ܚܕܰܝܢ,ܐܶܬܚܕܺܝܢ,ܚܰܕܺܝܢ,ܐܶܬܚܰܕܺܝܢ,ܐܰܚܕܺܝܢ,ܐܶܬܬܰܚܕܺܝܢ
imperfect,3MS,ܢܶܚܕܶܐ,ܢܶܬܚܕܶܐ,ܢܚܰܕܶܐ,ܢܶܬܚܰܕܶܐ,ܢܰܚܕܶܐ,ܢܶܬܬܰܚܕܶܐ
imperfect,3FS,ܬܶܚܕܶܐ,ܬܶܬܚܕܶܐ,ܬܚܰܕܶܐ,ܬܶܬܚܰܕܶܐ,ܬܰܚܕܶܐ,ܬܶܬܬܰܚܕܶܐ
imperfect,2MS,ܬܶܚܕܶܐ,ܬܶܬܚܕܶܐ,ܬܚܰܕܶܐ,ܬܶܬܚܰܕܶܐ,ܬܰܚܕܶܐ,ܬܶܬܬܰܚܕܶܐ
imperfect,2FS,ܬܶܚܕܶܝܢ,ܬܶܬܚܕܶܝܢ,ܬܚܰܕܶܝܢ,ܬܶܬܚܰܕܶܝܢ,ܬܰܚܕܶܝܢ,ܬܶܬܬܰܚܕܶܝܢ
imperfect,1CS,ܐܶܚܕܶܐ,ܐܶܬܚܕܶܐ,ܐܶܚܰܕܶܐ,ܐܶܬܚܰܕܶܐ,ܐܰܚܕܶܐ,ܐܶܬܬܰܚܕܶܐ
imperfect,3MP,ܢܶܚܕܽܘܢ,ܢܶܬܚܕܽܘܢ,ܢܚܰܕܽܘܢ,ܢܶܬܚܰܕܽܘܢ,ܢܰܚܕܽܘܢ,ܢܶܬܬܰܚܕܽܘܢ
imperfect,3FP,ܢܶܚܕܝ̈ܳܢ,ܢܶܬܚܰܕܝ̈ܳܢ,ܢܚܰܕܝ̈ܳܢ,ܢܶܬܚܰܕ̈ܝܳܢ,ܢܰܚܕ̈ܳܢ,ܢܶܬܬܰܚܕ̈ܳܢ
imperfect,2MP,ܬܶܚܕܽܘܢ,ܬܶܬܚܕܽܘܢ,ܬܚܰܕܽܘܢ,ܬܶܬܚܰܕܽܘܢ,ܬܰܚܕܽܘܢ,ܬܶܬܬܰܚܕܽܘܢ
imperfect,2FP,ܬܶܚܕܝ̈ܳܢ,ܬܶܬܚܰܕܝ̈ܳܢ,ܬܚܰܕܝ̈ܳܢ,ܬܶܬܚܰܕ̈ܝܳܢ,ܬܰܚܕ̈ܳܢ,ܬܶܬܬܰܚܕ̈ܳܢ
imperfect,1CP,ܢܶܚܕܶܐ,ܢܶܬܚܕܶܐ,ܢܚܰܕܶܐ,ܢܶܬܚܰܕܶܐ,ܢܰܚܕܶܐ,ܢܶܬܬܰܚܕܶܐ
imperative,MS,ܚܕܺܝ,ܐܶܬܚܕܰܝ,ܚܰܕܳܐ,ܐܶܬܚܰܕܳܐ,ܐܰܚܕܳܐ,ܐܶܬܬܰܚܕܳܐ
imperative,FS,ܚܕܳܝ,ܐܶܬܚܕܳܝ,ܚܰܕܳܝ,ܐܶܬܚܰܕܳܝ,ܐܰܚܕܳܝ,ܐܶܬܬܰܚܕܳܝ
imperative,MP,ܚܕܰܘ,ܐܶܬܚܕܰܘ,ܚܰܕܰܘ,ܐܶܬܚܰܕܰܘ,ܐܰܚܕܰܘ,ܐܶܬܬܰܚܕܰܘ
imperative,FP,ܚܕܰ̈ܝ,ܐܶܬܚܕܳܝ̈ܶܝܢ?,ܚܰܕܳܝ̈,ܐܶܬܚܰܕܳܝ̈,ܐܰܚܕܳܝ̈,ܐܶܬܬܰܚ̈ܕܳܝ
active-participle,MS,ܚܳܕܶܐ,ܡܶܬܚܕܶܐ,ܡܚܰܕܶܐ,ܡܶܬܚܰܕܶܐ,ܡܰܚܕܶܐ,ܡܶܬܬܰܚܕܶܐ
active-participle,FS,ܚܳܕܝܳܐ,ܡܶܬܚܰܕܝܳܐ,ܡܚܰܕܝܐ,ܡܶܬܚܰܕܝܳܐ,ܡܰܚܕܝܳܐ,ܡܶܬܬܰܚܕܝܳܐ
active-participle,MP,ܚܳܕܶܝܢ,ܡܶܬܚܕܶܝܢ,ܡܚܰܕܶܝܢ,ܡܶܬܚܰܕܶܝܢ,ܡܰܚܕܶܝܢ,ܡܶܬܬܰܚܕܶܝܢ
active-participle,FP,ܚܳܕܝ̈ܳܢ,ܡܶܬܚܰܕܝ̈ܳܢ,ܡܚܰܕܝ̈ܳܢ,ܡܶܬܚܰܕ̈ܝܳܢ,ܡܰܚܕ̈ܝܳܢ,ܡܶܬܬܰܚܕ̈ܝܳܢ
passive-participle,MS,ܚܕܶܐ,,ܡܚܰܕܰܝ,,ܡܰܚܕܰܝ,
passive-participle,FS,ܚܰܕܝܳܐ,,ܡܚܰܕܝܳܐ,,ܡܰܚܕܝܳܐ,
passive-participle,MP,ܚܕܶܝܢ,,ܡܚܰܕܶܝܢ,,ܡܰܚܕܶܝܢ,
passive-participle,FP,ܚܰܕܝ̈ܳܢ,,ܡܚܰܕܝ̈ܳܢ,,ܡܰܚܕ̈ܝܳܢ,
infinitive,,ܡܶܚܕܳܐ,ܡܶܬܚܕܳܝܽܘ,ܡܚܰܕܳܝܽܘ,ܡܶܬܚܰܕܳܝܽܘ,ܡܰܚܕܳܝܽܘ,ܡܶܬܬܰܚܕܳܝܽܘ
