ܢܡ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܰܡ,,ܢܰܡܶܡ,ܐܶܬܢܰܡܰܡ,ܐܰܢܶܡ,ܐܶܬܬܰܢܰܡ
perfect,3FS,ܢܶܡܰܬ,,ܢܰܡܡܰܬ,ܐܶܬܢܰܡܡܰܬ,ܐܰܢܡܰܬ,ܐܶܬܬܰܢܡܰܬ
perfect,2MS,ܢܰܡܬ,,ܢܰܡܶܡܬ,ܐܶܬܢܰܡܰܡܬ,ܐܰܢܶܡܬ,ܐܶܬܬܰܢܰܡܬ
perfect,2FS,ܢܰܡܬܝ,,ܢܰܡܶܡܬܝ,ܐܶܬܢܰܡܰܡܬܝ,ܐܰܢܶܡܬܝ,ܐܶܬܬܰܢܡܬܝ
perfect,1CS,ܢܶܡܶܬ,,ܢܰܡܡܶܬ,ܐܶܬܢܰܡܡܶܬ,ܐܰܢܡܶܬ,ܐܶܬܬܰܢܡܶܬ
perfect,3MP,ܢܰܡܘ,,ܢܰܡܶܡܘ,ܐܶܬܢܰܡܰܡܘ,ܐܰܢܶܡܘ,ܐܶܬܬܰܢܰܡܘ
perfect,3FP,ܢܰܡ̈ܝ,,ܢܰܡܶܡ̈ܝ,ܐܶܬܢܰܡܰܡ̈ܝ,ܐܰܢܶܡ̈ܝ,ܐܶܬܬܰܢܰܡ̈ܝ
perfect,2MP,ܢܰܡܬܽܘܢ,,ܢܰܡܶܡܬܽܘܢ,ܐܶܬܢܰܡܰܡܬܽܘܢ,ܐܰܢܶܡܬܽܘܢ,ܐܶܬܬܰܢܰܡܬܽܘܢ
perfect,2FP,ܢܰܡܬ̈ܶܝܢ,,ܢܰܡܶܡܬ̈ܶܝܢ,ܐܶܬܢܰܡܰܡ̈ܬܶܝܢ,ܐܰܢܶܡܬ̈ܶܝܢ,ܐܶܬܬܰܢܰܡ̈ܬܶܝܢ
perfect,1CP,ܢܰܡܢ,,ܢܰܡܶܡܢ,ܐܶܬܢܰܡܰܡܢ,ܐܰܢܶܡܢ,ܐܶܬܬܰܢܰܡܢ
imperfect,3MS,ܢܶܢܽܘܡ,,ܢܢܰܡܶܡ,ܢܶܬܢܰܡܰܡ,ܢܰܢܶܡ,ܢܶܬܬܰܢܰܡ
imperfect,3FS,ܬܶܢܽܘܡ,,ܬܢܰܡܶܡ,ܬܶܬܢܰܡܰܡ,ܬܰܢܶܡ,ܬܶܬܬܰܢܰܡܝ
imperfect,2MS,ܬܶܢܽܘܡ,,ܬܢܰܡܶܡ,ܬܶܬܢܰܡܰܡ,ܬܰܢܶܡ,ܬܶܬܬܰܢܰܡ
imperfect,2FS,ܬܶܢܡܺܝܢ,,ܬܢܰܡܡܺܝܢ,ܬܶܬܢܰܡܡܺܝܢ,ܬܰܢܡܺܝܢ,ܬܶܬܬܰܢܰܡܺܝܢ
imperfect,1CS,ܐܶܢܽܘܡ,,ܐܶܢܰܡܶܡ,ܐܶܬܢܰܡܰܡ,ܐܰܢܶܡ,ܐܶܬܬܰܢܰܡ
imperfect,3MP,ܢܶܢܡܽܘܢ,,ܢܢܰܡܡܽܘܢ,ܢܶܬܢܰܡܡܽܘܢ,ܢܰܢܡܽܘܢ,ܢܶܬܬܰܢܡܽܘܢ
imperfect,3FP,ܢܶܢ̈ܡܳܢ,,ܢܢܰܡܡ̈ܳܢ,ܢܶܬܢܰܡܡ̈ܳܢ,ܢܰܢܡ̈ܳܢ,ܢܶܬܬܰܢܡ̈ܳܢ
imperfect,2MP,ܬܶܢܡܽܘܢ,,ܬܢܰܡܡܽܘܢ,ܬܶܬܢܰܡܡܽܘܢ,ܬܰܢܡܽܘܢ,ܬܶܬܬܰܢܡܽܘܢ
imperfect,2FP,ܬܶܢ̈ܡܳܢ,,ܬܢܰܡܡ̈ܳܢ,ܬܶܬܢܰܡܡ̈ܳܢ,ܬܰܢܡ̈ܳܢ,ܬܶܬܬܰܢܡ̈ܳܢ
imperfect,1CP,ܢܶܢܽܘܡ,,ܢܢܰܡܶܡ,ܢܶܬܢܰܡܰܡ,ܢܰܢܶܡ,ܢܶܬܬܰܢܰܡ
imperative,MS,ܢܽܘܡ,,ܢܰܡܶܡ,ܐܶܬܢܰܡܰܡ,ܐܰܢܶܡ,ܐܶܬܬܰܢܰܡ
imperative,FS,ܢܽܘܡܝ,,ܢܰܡܶܡܝ,ܐܶܬܢܰܡܰܡܝ,ܐܰܢܶܡܝ,ܐܶܬܬܰܢܰܡܝ
imperative,MP,ܢܽܘܡܘ,,ܢܰܡܶܡܘ,ܐܶܬܢܰܡܰܡܘ,ܐܰܢܶܡܘ,ܐܶܬܬܰܢܰܡܘ
imperative,FP,ܢܽܘܡ̈ܝ,,ܢܰܡܶܡ̈ܝ,ܐܶܬܢܰܡܰܡ̈ܝ,ܐܰܢܶܡ̈ܝ,ܐܶܬܬܰܢܰܡ̈ܝ
active-participle,MS,ܢܳܐܶܡ,,ܡܢܰܡܶܡ,ܡܶܬܢܰܡܰܡ,ܡܰܢܶܡ,ܡܶܬܬܰܢܰܡ
active-participle,FS,ܢܳܡܳܐ,,ܡܢܰܡܡܳܐ,ܡܶܬܢܰܡܡܳܐ,ܡܰܢܡܳܐ,ܡܶܬܬܰܢܡܳܐ
active-participle,MP,ܢܳܡܺܝܢ,,ܡܢܰܡܡܺܝܢ,ܡܶܬܢܰܡܡܺܝܢ,ܡܰܢܡܺܝܢ,ܡܶܬܬܰܢܰܡܺܝܢ
active-participle,FP,ܢܳܡ̈ܳܢ,,ܡܢܰܡܡ̈ܳܢ,ܡܶܬܢܰܡܡ̈ܳܢ,ܡܰܢܡ̈ܳܢ,ܡܶܬܬܰܢܰܡ̈ܳܢ
passive-participle,MS,ܢܡܺܝܡ,,ܡܢܰܡܰܡ,,ܡܰܢܰܡ,
passive-participle,FS,ܢܡܺܝܡܳܐ,,ܡܢܰܡܡܳܐ,,ܡܰܢܡܳܐ,
passive-participle,MP,ܢܡܺܝܡܺܝܢ,,ܡܢܰܡܡܺܝܢ,,ܡܰܢܡܺܝܢ,
passive-participle,FP,ܢܡܺܝܡ̈ܳܢ,,ܡܢܰܡ̈ܡܳܢ,,ܡܰܢ̈ܡܳܢ,
infinitive,,ܡܶܢܰܡ,,ܡܢܰܡܳܡܽܘ,ܡܶܬܢܰܡܳܡܽܘ,ܡܰܢܳܡܽܘ,ܡܶܬܬܰܢܳܡܽܘ
