ܣܡܟ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܣܡܰܟ,´ܶܣܬܡܶܟ,ܣܰܡܶܟ,ܐܶܣܬܰܡܰܟ,ܐܰܣܡܶܟ,ܐܶܬܣܰܬܡܰܟ
perfect,3FS,ܣܶܡܟܰܬ,ܐܶܣܬܰܡܟܰܬ,ܣܰܡܟܰܬ,ܐܶܣܬܰܡܟܰܬ,ܐܰܣܡܟܰܬ,ܐܶܬܣܰܬܡܟܰܬ
perfect,2MS,ܣܡܰܟܬ,ܐܶܣܬܡܶܟܬ,ܣܰܡܶܟܬ,ܐܶܣܬܰܡܰܟܬ,ܐܰܣܡܶܟܬ,ܐܶܬܣܰܬܡܰܟܬ
perfect,2FS,ܣܡܰܟܬܝ,ܐܶܣܬܡܶܟܬܝ,ܣܰܡܶܟܬܝ,ܐܶܣܬܰܡܰܟܬܝ,ܐܰܣܡܶܟܬܝ,ܐܶܬܡܣܬܰܟܬܝ
perfect,1CS,ܣܶܡܟܶܬ,ܐܶܣܬܰܡܟܶܬ,ܣܰܡܟܶܬ,ܐܶܣܬܰܡܟܶܬ,ܐܰܣܡܟܶܬ,ܐܶܬܡܣܬܟܶܬ
perfect,3MP,ܣܡܰܟܘ,ܐܶܣܬܡܶܟܘ,ܣܰܡܶܟܘ,ܐܶܣܬܰܡܰܟܘ,ܐܰܣܡܶܟܘ,ܐܶܬܣܰܬܡܰܟܘ
perfect,3FP,ܣܡܰܟ̈ܝ,ܐܶܣܬܡܶܟ̈ܝ,ܣܰܡܶܟ̈ܝ,ܐܶܣܬܰܡܰܟ̈ܝ,ܐܰܣܡܶܟ̈ܝ,ܐܶܬܣܰܬܡܰܟ̈ܝ
perfect,2MP,ܣܡܰܟܬܽܘܢ,ܐܶܣܬܡܶܟܬܽܘܢ,ܣܰܡܶܟܬܽܘܢ,ܐܶܣܬܰܡܰܟܬܽܘܢ,ܐܰܣܡܶܟܬܽܘܢ,ܐܶܬܣܰܬܡܰܟܬܽܘܢ
perfect,2FP,ܣܡܰܟܬ̈ܶܝܢ,ܐܶܣܬܡܶܟ̈ܬܶܝܢ,ܣܰܡܶܟܬ̈ܶܝܢ,ܐܶܣܬܰܡܰܟ̈ܬܶܝܢ,ܐܰܣܡܶܟܬ̈ܶܝܢ,ܐܶܬܣܰܬܡܰܟ̈ܬܶܝܢ
perfect,1CP,ܣܡܰܟܢ,ܐܶܣܬܡܶܟܢ,ܣܰܡܶܟܢ,ܐܶܣܬܰܡܰܟܢ,ܐܰܣܡܶܟܢ,ܐܶܬܣܰܬܡܰܟܢ
imperfect,3MS,ܢܶܣܡܽܘܟ,ܢܶܣܬܡܶܟ,ܢܣܰܡܶܟ,ܢܶܣܬܰܡܰܟ,ܢܰܣܡܶܟ,ܢܶܬܣܰܬܡܰܟ
imperfect,3FS,ܬܶܣܡܽܘܟ,ܬܶܣܬܡܶܟ,ܬܣܰܡܶܟ,ܬܶܣܬܰܡܰܟ,ܬܰܣܡܶܟ,ܬܶܬܡܣܬܰܟܝ
imperfect,2MS,ܬܶܣܡܽܘܟ,ܬܶܣܬܡܶܟ,ܬܣܰܡܶܟ,ܬܶܣܬܰܡܰܟ,ܬܰܣܡܶܟ,ܬܶܬܡܣܬܰܟ
imperfect,2FS,ܬܶܣܡܟܺܝܢ,ܬܶܣܬܰܡܟܺܝܢ,ܬܣܰܡܟܺܝܢ,ܬܶܣܬܰܡܟܺܝܢ,ܬܰܣܡܟܺܝܢ,ܬܶܬܡܣܬܟܺܝܢ
imperfect,1CS,ܐܶܣܡܽܘܟ,ܐܶܣܬܡܶܟ,ܐܶܣܰܡܶܟ,ܐܶܣܬܰܡܰܟ,ܐܰܣܡܶܟ,ܐܶܬܣܰܬܡܰܟ
imperfect,3MP,ܢܶܣܡܟܽܘܢ,ܢܶܣܬܰܡܟܽܘܢ,ܢܣܰܡܟܽܘܢ,ܢܶܣܬܰܡܟܽܘܢ,ܢܰܣܡܟܽܘܢ,ܢܶܬܣܰܬܡܟܽܘܢ
imperfect,3FP,ܢܶܣ̈ܡܟܳܢ,ܢܶܣܬܰܡܟ̈ܳܢ,ܢܣܰܡܟ̈ܳܢ,ܢܶܣܬܰܡܟ̈ܳܢ,ܢܰܣܡܟ̈ܳܢ,ܢܶܬܣܰܬܡܟ̈ܳܢ
imperfect,2MP,ܬܶܣܡܟܽܘܢ,ܬܶܣܬܰܡܟܽܘܢ,ܬܣܰܡܟܽܘܢ,ܬܶܣܬܰܡܟܽܘܢ,ܬܰܣܡܟܽܘܢ,ܬܶܬܡܣܬܟܽܘܢ
imperfect,2FP,ܬܶܣ̈ܡܟܳܢ,ܬܶܣܬܰܡܟ̈ܳܢ,ܬܣܰܡܟ̈ܳܢ,ܬܶܣܬܰܡܟ̈ܳܢ,ܬܰܣܡܟ̈ܳܢ,ܬܶܬܡܣܬܟ̈ܳܢ
imperfect,1CP,ܢܶܣܡܽܘܟ,ܢܶܣܬܡܶܟ,ܢܣܰܡܶܟ,ܢܶܣܬܰܡܰܟ,ܢܰܣܡܶܟ,ܢܶܬܣܰܬܡܰܟ
imperative,MS,ܣܡܽܘܟ,ܐܶܣܬܰܡܟ,ܣܰܡܶܟ,ܐܶܣܬܰܡܰܟ,ܐܰܣܡܶܟ,ܐܶܬܣܰܬܡܰܟ
imperative,FS,ܣܡܽܘܟܝ,ܐܶܣܬܰܡܟܝ,ܣܰܡܶܟܝ,ܐܶܣܬܰܡܰܟܝ,ܐܰܣܡܶܟܝ,ܐܶܬܣܰܬܡܰܟܝ
imperative,MP,ܣܡܽܘܟܘ,ܐܶܣܬܰܡܟܘ,ܣܰܡܶܟܘ,ܐܶܣܬܰܡܰܟܘ,ܐܰܣܡܶܟܘ,ܐܶܬܣܰܬܡܰܟܘ
imperative,FP,ܣܡܽܘܟ̈ܝ,ܐܶܣܬܰܡܟ̈ܝ,ܣܰܡܶܟ̈ܝ,ܐܶܣܬܰܡܰܟ̈ܝ,ܐܰܣܡܶܟ̈ܝ,ܐܶܬܣܰܬܡܰܟ̈ܝ
active-participle,MS,ܣܳܡܶܟ,ܡܶܣܬܡܶܟ,ܡܣܰܡܶܟ,ܡܶܣܬܰܡܰܟ,ܡܰܣܡܶܟ,ܡܶܬܣܰܬܡܰܟ
active-participle,FS,ܣܳܡܟܳܐ,ܡܶܣܬܰܡܟܳܐ,ܡܣܰܡܟܳܐ,ܡܶܣܬܰܡܟܳܐ,ܡܰܣܡܟܳܐ,ܡܶܬܣܰܬܡܟܳܐ
active-participle,MP,ܣܳܡܟܺܝܢ,ܡܶܣܬܰܡܟܺܝܢ,ܡܣܰܡܟܺܝܢ,ܡܶܣܬܰܡܟܺܝܢ,ܡܰܣܡܟܺܝܢ,ܡܶܬܣܰܬܡܟܺܝܢ
active-participle,FP,ܣܳܡ̈ܟܳܢ,ܡܶܣܬܰܡ̈ܟܳܢ,ܡܣܰܡ̈ܟܳܢ,ܡܶܣܬܰܡܟ̈ܳܢ,ܡܰܣܡܟ̈ܳܢ,ܡܶܬܣܰܬܡܟ̈ܳܢ
passive-participle,MS,ܣܡܺܝܟ,,ܡܣܰܡܰܟ,,ܡܰܣܡܰܟ,
passive-participle,FS,ܣܡܺܝܟܳܐ,,ܡܣܰܡܟܳܐ,,ܡܰܣܡܟܳܐ,
passive-participle,MP,ܣܡܺܝܟܺܝܢ,,ܡܣܰܡܟܺܝܢ,,ܡܰܣܡܟܺܝܢ,
passive-participle,FP,ܣܡܺܝ̈ܟܳܢ,,ܡܣܰܡ̈ܟܳܢ,,ܡܰܣܡ̈ܟܳܢ,
infinitive,,ܡܶܣܡܰܟ,ܡܶܣܬܡܳܟܽܘ,ܡܣܰܡܳܟܽܘ,ܡܶܣܬܰܡܳܟܽܘ,ܡܰܣܡܳܟܽܘ,ܡܶܬܣܰܬܡܳܟܽܘ
